Keyword: flight mode
Occurrences: 26
================================================================================

[multimode-trans] Page    2: research [20]. A tilt-rotor VTOL UAV has three flight modes—the helicopter mode, fixed-
[multimode-trans] Page    2: by actuator redundancy, strong nonlinearity, cross-coupling, and multiple flight modes [22].
[multimode-trans] Page    2: during the process. Consequently, the transition flight mode is somewhat complicated for
[multimode-trans] Page    5: 2.2. Typical Flight Modes and Control Logic
[multimode-trans] Page    5: In helicopter flight mode, the longitudinal control of the UAV primarily depends
[multimode-trans] Page   12: landing with high-speed cruise, which is an essential flight mode for this type of UAV.
[multimode-trans] Page   12: an extremely dangerous flight mode. The larger the tilting angle–velocity envelope of a
[hybrid-review  ] Page    2: all flight modes without the need to switch among flight controllers or to perform predefined-gain scheduling,
[hybrid-review  ] Page    4: from the fact they have to operate in flight modes, in which the aircraft’s behavior and dynamics are drastically
[hybrid-review  ] Page   15: in both flight modes and transitions in between. In this case, online-adaptive control strategies, machine-
[hybrid-review  ] Page   26: transition between hover and cruise flight modes but could also be applied to different platforms as shown in
[hybrid-review  ] Page   31: dynamics in each flight mode can be found [245, 134] and in the summary provided in Table 9 .
[hybrid-review  ] Page   36: during flight mode transition. Although they allow efficient wing design, tailsitters also display high suscep-
[hybrid-review  ] Page   36: tilting actuation to achieve transition between flight modes. While tiltrotor hybrid UAV are generally less
[hybrid-review  ] Page   36: system, 2) reference-trajectory generation during flight mode transition, 3) flight controller and 4) actuator-
[hybrid-review  ] Page   36: linear controllers throughout the flight modes. Recent investigations to augment or replace these controllers
[hybrid-review  ] Page   36: among flight controllers. It consists in a continuous single control approach a) valid in all flight modes (VTOL,
[hybrid-review  ] Page   40: [80] J. Zhou, X. Lyu, Z. Li, S. Shen, F. Zhang, A unified control method for quadrotor tail-sitter UAVs in all flight modes: hover,
[hybrid-review  ] Page   41: [82] Z. Li, W. Zhou, H. Liu, L. Zhang, Z. Zuo, Nonlinear robust flight mode transition control for tail-sitter aircraft, IEEE Access
[hybrid-review  ] Page   41: [83] Z. Li, W. Zhou, H. Liu, Robust controller design for a tail-sitter UAV in flight mode transitions, in: 2018 IEEE 14th Interna-
[hybrid-review  ] Page   41: [93] D. Liu, H. Liu, F. L. Lewis, K. P. Valavanis, Robust time-varying formation control for tail-sitters in flight mode transitions,
[hybrid-review  ] Page   41: [94] H. Liu, F. Peng, F. L. Lewis, Y. Wan, Robust tracking control for tail-sitters in flight mode transitions, IEEE Transactions on
[hybrid-review  ] Page   42: [117] L. Yu, D. Zhang, J. Zhang, Transition flight modeling and control of a novel tilt tri-rotor UAV, in: 2017 IEEE International
[hybrid-review  ] Page   46: [190] B. Yuksek, A. Vuruskan, U. Vuruskan, M. A. Yukselen, G. Inalhan, Transition flight modeling of a fixed-wing vtol uav,
[hybrid-review  ] Page   47: [220] Z. Sun, R. Wang, W. Zhou, Finite-time stabilization control for the flight mode transition of tiltrotors based on switching
[tiltrotor-sim  ] Page    4: UAV in horizontal flight mode using physics-based modeling approach. This includes building all required
